UUID,標題,副標,記者,報紙,版次,發稿日期,連結
b2727ac7-4712-477c-86ae-ac25e9e3d9d1,美媒：全球陷入更難預測的未來,川普助長國內孤立主義聲浪 恐從根本改變美國的世界觀,【編譯江昱蓁╱綜合報導】,聯合報,A3版 2024美國大選 全球新局,2024-11-07,https://udndata.com/ndapp/Story?no=17&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444326
1e05c9cf-7b54-44c5-bfb7-f62ce24e7ccb,挑起選民不滿 川普橫掃搖擺州,「笨蛋 問題在經濟」 重演柯林頓成功挑戰布希,【編譯張佑生、記者張文馨╱綜合報導】,聯合報,A3版 2024美國大選 全球新局,2024-11-07,https://udndata.com/ndapp/Story?no=18&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444325
89c6ce84-148f-40dd-80a9-97c12b7fd471,學者：關稅戰恐釀二次通膨,,【記者陳素玲、朱漢崙╱台北報導】,聯合報,A2版 2024美國大選 財經衝擊,2024-11-07,https://udndata.com/ndapp/Story?no=19&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444318
94e39590-b5f0-499e-a968-5edeb6725aa8,保護費說 經長：對台積影響不大,,【記者林海、簡永祥、鄭媁、林宸誼╱綜合報導】,聯合報,A2版 2024美國大選 財經衝擊,2024-11-07,https://udndata.com/ndapp/Story?no=20&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444317
fb4c5126-8bbb-471c-8362-1ba3f724922a,川普完全執政，為美國政治分裂投下陰影,,【社論】,聯合報,A2版 2024美國大選 財經衝擊,2024-11-07,https://udndata.com/ndapp/Story?no=21&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444314
d6cfa26a-ee1f-4c51-a40b-44137e9eeaae,關稅俠 將掀貿易戰,,【編譯張佑生、高詣軒╱綜合報導】,聯合報,A2版 2024美國大選 財經衝擊,2024-11-07,https://udndata.com/ndapp/Story?no=22&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444316
9fc8ef2c-7f34-42f7-b11d-0c8b1a0cf483,阿莎力向右走的美國,,【邱師儀╱東海大學政治系教授】,聯合報,A13版 民意論壇,2024-11-07,https://udndata.com/ndapp/Story?no=23&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444404
dc75208b-5bf2-45c9-a5e7-a2375511f929,川普完全執政下的台海安全,川普2.0系列,【嚴震生】,聯合報,A13版 民意論壇,2024-11-07,https://udndata.com/ndapp/Story?no=24&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444403
1ac2b0f7-d1f9-46d0-962e-bc5ea9cbddaf,川普對台帶來的未知與危機,,【黃齊元】,聯合報,A12版 民意論壇,2024-11-07,https://udndata.com/ndapp/Story?no=25&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444385
f8aa3485-743f-4d42-bd26-63a6f708bbdf,川普凡事美國優先 台不能陷被動,,【于思遠╱自由業（桃園市）】,聯合報,A12版 民意論壇,2024-11-07,https://udndata.com/ndapp/Story?no=26&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444387
4b62a14d-50e8-4893-b377-859c093cd4c2,川普罵台小偷 賴政府噤聲,,【邱冠倫╱金融業退休（新北市）】,聯合報,A12版 民意論壇,2024-11-07,https://udndata.com/ndapp/Story?no=27&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444386
e50b4e8b-4890-43c6-b797-81e59c6c8682,川普當選預期心理 人民幣重貶,,【記者林宸誼╱綜合報導】,聯合報,A11版 兩岸,2024-11-07,https://udndata.com/ndapp/Story?no=28&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444390
e9b43401-e9a7-4da9-a9e3-23ec99db4c29,川普當選 歐美出現慶祝行情,股市會說話,【記者廖賢龍、陳美君、朱漢崙╱台北報導】,聯合報,A10版 財經要聞,2024-11-07,https://udndata.com/ndapp/Story?no=29&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444373
bd808c7e-50a5-4278-9b1f-7999b2b3f5b4,川普重返白宮,壓倒性勝利 共和黨參院過半、眾院領先,【記者張文馨╱華盛頓報導】,聯合報,A1版 要聞,2024-11-07,https://udndata.com/ndapp/Story?no=30&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444313
6b85bc40-2517-4073-818a-474f6d491fcf,上銀AI機器人快量產了,,【特派記者宋健生╱東京6日電】,經濟日報,C6版 上市櫃公司,2024-11-07,https://udndata.com/ndapp/Story?no=31&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444533
2065d631-204a-488f-bb29-042e2cda38cb,川湖前三季EPS 41.96元,,【記者蕭君暉╱台北報導】,經濟日報,C1版 證券產業,2024-11-07,https://udndata.com/ndapp/Story?no=32&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444496
81a01b8b-dad9-421b-810e-1dde0c47347b,台股 元大台灣50正2 吸睛,,【本報訊】,經濟日報,B3版 稅務法務．基金,2024-11-07,https://udndata.com/ndapp/Story?no=33&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444592
5ffb0b43-190d-41a7-b464-cb4b97a376b8,國泰20年美債反1 避風港,債市,【本報訊】,經濟日報,B3版 稅務法務．基金,2024-11-07,https://udndata.com/ndapp/Story?no=34&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444595
a1d16e8c-fa4d-4626-b6cc-16e4c87684a7,川普概念商品 強勢領漲,,【記者高瑜君╱台北報導】,經濟日報,B2版 基金,2024-11-07,https://udndata.com/ndapp/Story?no=35&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444599
4e1c9a60-a9fa-4f62-bd12-bea229b5b34a,半導體族群 拉長布局,,【記者蔡靜紋╱台北報導】,經濟日報,B2版 基金,2024-11-07,https://udndata.com/ndapp/Story?no=36&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444600
ff4930ca-5d08-4640-8fab-fc5e956dff74,成長型基金 長線勝率高,,【記者崔馨方╱台北報導】,經濟日報,B2版 基金,2024-11-07,https://udndata.com/ndapp/Story?no=37&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444598
5a149e80-52db-45ef-879d-f98c707bbfeb,日股長多 定時定額布局,,【記者蔡靜紋╱台北報導】,經濟日報,B1版 基金理財,2024-11-07,https://udndata.com/ndapp/Story?no=38&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444605
1f8eba85-965d-42c1-8fc9-c184443944a1,1.69% CPI增幅探三年半低點,,【記者葉卉軒╱台北報導】,經濟日報,A8版 焦點,2024-11-07,https://udndata.com/ndapp/Story?no=39&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444550
5b57c36e-c8d7-4211-9191-7a2b6849a6b6,川普美國優先 要創黃金年代,,【本報訊】,經濟日報,A5版 川普勝選 特別報導,2024-11-07,https://udndata.com/ndapp/Story?no=40&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444573
64d5e35d-1196-4ad1-ac25-79b467751452,許勝雄：產業鏈將重新布局,官產回應,【記者林薏茹╱台北報導】,經濟日報,A4版 川普勝選 特別報導,2024-11-07,https://udndata.com/ndapp/Story?no=41&page=3&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444570
02e56602-cf8a-42dc-8663-cfdfbb774d0f,台股穩中盤堅 有望戰新高,,【記者廖賢龍╱台北報導】,經濟日報,A4版 川普勝選 特別報導,2024-11-07,https://udndata.com/ndapp/Story?no=42&page=3&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444569
9a2809d1-27f4-4d41-9f03-6c46f90645f3,概念股將躍盤面焦點,,【記者蕭君暉╱台北報導】,經濟日報,A4版 川普勝選 特別報導,2024-11-07,https://udndata.com/ndapp/Story?no=43&page=3&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444568
fd63e066-c0d8-4e96-9046-dcf96157abde,總統府：台美持續緊密合作,官產回應,【記者余弦妙╱台北報導】,經濟日報,A4版 川普勝選 特別報導,2024-11-07,https://udndata.com/ndapp/Story?no=44&page=3&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444571
abd7cb23-d11c-42e3-a82f-4d36159b447d,國發會：保護費說是選舉語言,,【記者江睿智╱台北報導】,經濟日報,A4版 川普勝選 特別報導,2024-11-07,https://udndata.com/ndapp/Story?no=45&page=3&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444565
287c22eb-6cc6-4137-b043-37feaad75fff,川普2.0 推演台積四情境,,【記者尹慧中、李孟珊╱台北報導】,經濟日報,A4版 川普勝選 特別報導,2024-11-07,https://udndata.com/ndapp/Story?no=46&page=3&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444567
18ebf949-f27a-4fd3-a8ed-aca72a354e43,從台灣看美國總統選舉,,【劉大年】,經濟日報,A4版 川普勝選 特別報導,2024-11-07,https://udndata.com/ndapp/Story?no=47&page=3&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444566
