識別碼,來源媒體,新聞分類,發布日期,新聞連結,folder,新聞標題,Source,LLM
news_e10a2eac90fd2144b7564fdcedd4ead4,中央通訊社,兩岸透視,11/6/2024 4:25,https://www.cna.com.tw/news/acn/202411060123.aspx,兩岸新聞,川普開票領先令港股受壓 恆指午盤下跌547點,NDC,反對
news_a15c1965e48a87de4e57e8feb6d4b766,中央通訊社,兩岸透視,11/6/2024 8:19,https://www.cna.com.tw/news/acn/202411060258.aspx,兩岸新聞,美選開票川普領先 人民幣兌美元匯率一度貶破7.19,NDC,中立
news_267e9067acadf455bd7a3ebb9bd52e87,中央通訊社,兩岸透視,11/6/2024 8:21,https://www.cna.com.tw/news/acn/202411060259.aspx,兩岸新聞,川普一路領先 中國外交部：尊重美國人民選擇,NDC,中立
news_3d9ea7797befa15cb5ffae332245819e,中央通訊社,兩岸透視,11/6/2024 8:51,https://www.cna.com.tw/news/acn/202411060283.aspx,兩岸新聞,川普將重返白宮 中國學者：美對中政策不會有大變化,NDC,中立
news_d2a5b242688f7b00eeb7e5de0dfe5026,中央通訊社,兩岸透視,11/6/2024 8:34,https://www.cna.com.tw/news/afe/202411060268.aspx,兩岸新聞,擔心川普對中國強硬 港股跌逾400點,NDC,反對
news_1678ff1ba57b17de68ccb6962c51d32b,中央通訊社,兩岸透視,11/6/2024 10:33,https://www.cna.com.tw/news/acn/202411060358.aspx,兩岸新聞,川普當選 台學者：美對台戰略清晰或模糊難預判,NDC,中立
news_de58917d623562154081a95549ab0ff4,中央通訊社,兩岸透視,11/6/2024 6:22,https://www.cna.com.tw/news/acn/202411060183.aspx,兩岸新聞,路透：無論誰當選美總統 中國將迎來更多競爭,NDC,中立
news_611dc152ec2086464c9d78d53838d60b,中央通訊社,兩岸透視,11/6/2024 6:54,https://www.cna.com.tw/news/acn/202411060203.aspx,兩岸新聞,華爾街日報：中國不會推「火箭筒式」刺激計畫 至少今年不會,NDC,中立
news_d242a1cfe8cf62ca8b325f7ed4de6a3e,中央通訊社,兩岸透視,11/6/2024 9:41,https://www.cna.com.tw/news/acn/202411060324.aspx,兩岸新聞,川普勢旺 中國國有銀行拋售美元力阻人民幣重貶,NDC,中立
news_f9bd82fff5bd3de549b902ab97febed8,中央通訊社,兩岸透視,11/6/2024 11:17,https://www.cna.com.tw/news/acn/202411060380.aspx,兩岸新聞,川普勢旺陸股震盪小跌 川字開頭個股出現諧音行情,NDC,中立
news_c55a4344b3a497cb14fc0af1b5f9c652,中央通訊社,兩岸透視,11/6/2024 11:50,https://www.cna.com.tw/news/acn/202411060400.aspx,兩岸新聞,川普再度入主白宮 中國學者：中美競爭合作並存,NDC,中立
news_377c2c5c3b4c82793629ec29ee46107c,中央通訊社,兩岸透視,11/6/2024 12:39,https://www.cna.com.tw/news/acn/202411060415.aspx,兩岸新聞,川普可望回鍋 北京學者：加大中國經濟下滑壓力,NDC,反對
news_f4ea6a51f7aadf91c37dcfb94500b8f0,2011 ETtoday.net. All Rights Reserved.,大陸新聞,11/6/2024 2:50,https://www.ettoday.net/news/20241106/2849409.htm,兩岸新聞,川普稱將因「芬太尼問題」對中國徵收關稅　陸外交部：不評論,NDC,反對
news_717c2941e104a8d04a1edd1c8ec85be6,2011 ETtoday.net. All Rights Reserved.,大陸新聞,11/6/2024 8:33,https://www.ettoday.net/news/20241106/2849790.htm,兩岸新聞,川普回歸！中美共管台海可能性　陸學者：恐怕不會為台獨衝動買單,NDC,反對
news_0199efffb599b507587946d1c6d35bd4,2011 ETtoday.net. All Rights Reserved.,大陸新聞,11/6/2024 9:09,https://www.ettoday.net/news/20241106/2849810.htm,兩岸新聞,川普勝選！微博熱搜爆衝登頂　陸外交部低調回應相關提問,NDC,中立
news_2a5d84e58bcea609674ea6e2c0145bd3,2011 ETtoday.net. All Rights Reserved.,大陸新聞,11/6/2024 9:48,https://www.ettoday.net/news/20241106/2849894.htm,兩岸新聞,川普將重返白宮！　中國學者：「美對中政策」不會有大變化,NDC,中立
news_6fdeeb607eb5b7a1b20db911c03d93f6,2011 ETtoday.net. All Rights Reserved.,新聞雲,7/22/2024 17:02,https://finance.ettoday.net/news/2781950,即時新聞,台積電跌9元至961　台股殺逾百點回測22700,NDC,反對
news_6c90ba18ad06630150568b93ee119447,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/3/2024 1:13,https://www.ettoday.net/news/20241102/2847301.htm,即時新聞,賀錦麗以「富士康投資威州」為例　批川普經濟政策光說不練,NDC,反對
news_fd8df0167277e2968791476a763f3a2b,2011 ETtoday.net. All Rights Reserved.,新聞雲,8/6/2024 5:25,https://finance.ettoday.net/news/2791571,即時新聞,台股2天市值蒸發153座101！老謝：全球震央在日本,NDC,中立
news_2faa49a77f2916e53ba38658800eb3a4,2011 ETtoday.net. All Rights Reserved.,新聞雲,9/20/2024 13:42,https://www.ettoday.net/news/20240920/2820185.htm,即時新聞,美大選在即　澤倫斯基下週訪美擬會賀錦麗、川普,NDC,反對
news_d0bc8bd1722e239eb7ea91d3795694cd,2011 ETtoday.net. All Rights Reserved.,新聞雲,9/24/2024 14:30,https://www.ettoday.net/news/20240924/2822434.htm,即時新聞,美國檢方：川普刺客數月前寫好信件言明進行暗殺,NDC,中立
news_432936ddf87b1c791f8bd89639296f6c,2011 ETtoday.net. All Rights Reserved.,新聞雲,8/4/2024 22:10,https://sports.ettoday.net/news/2790717,即時新聞,拳擊女將陷性別爭議晉4強確定奪牌　匈牙利對手：這不是她的錯,NDC,中立
news_fa6e9fc96ad9461ee7262241f09d3c3d,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/2/2024 14:00,https://finance.ettoday.net/news/2846946,即時新聞,00844B、00775B配息創高　一表看債券ETF11月除息概況,NDC,反對
news_9e2f965e1d74a95230c72f803f40a4c8,2011 ETtoday.net. All Rights Reserved.,新聞雲,9/20/2024 18:35,https://forum.ettoday.net/news/2819507,即時新聞,歐巴馬醫改是隱性議題　還是精心策劃政治謀略？,NDC,中立
news_2886a889f17f4c2dcef5c176cf151ba9,自由時報,即時新聞,10/29/2024 16:56,https://news.ltn.com.tw/news/world/breakingnews/4845087,即時新聞,MSNBC播報川普造勢 插播納粹集會畫面引爆爭議,NDC,支持
news_b992e964b2d785841024fe64c2196bc8,自由時報,即時新聞,10/29/2024 20:52,https://news.ltn.com.tw/news/world/breakingnews/4845391,即時新聞,風向變了？美《華郵》拒為候選人背書 貝佐斯：避免偏見觀感,NDC,中立
news_0440c2ab135cb681efd112d61baa90d9,自由時報,即時新聞,10/29/2024 20:59,https://news.ltn.com.tw/news/world/breakingnews/4845410,即時新聞,將川普造勢場比作納粹集會 賀錦麗陣營惹眾怒,NDC,中立
news_8b99a9b845230d9e921d832ec018e4f8,自由時報,即時新聞,10/29/2024 23:27,https://news.ltn.com.tw/news/world/breakingnews/4845635,即時新聞,費城檢察官出手！馬斯克百萬美元贈送活動恐觸法,NDC,反對
news_2280d85b4b1a77ba07c95ba75d19a5a6,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/6/2024 22:57,https://finance.ettoday.net/news/2849730,即時新聞,川普當選！日股收漲千點　美道瓊期飆700點,NDC,中立
news_693419300bd58eb216f5221ed3118787,自由時報,即時新聞,10/30/2024 4:59,https://news.ltn.com.tw/news/world/breakingnews/4846101,即時新聞,《紐時》解析賀錦麗選戰策略：與拜登保持距離 塑造獨立形象,NDC,中立
news_15235786a633bee231cb385c502c8dc4,2011 ETtoday.net. All Rights Reserved.,新聞雲,8/19/2024 20:25,https://forum.ettoday.net/news/2800002,即時新聞,民調被賀錦麗反超　川普恐再操縱民粹重演國會暴動,NDC,反對
news_94047a0425bb8cb1e5a46040da253b1d,2011 ETtoday.net. All Rights Reserved.,新聞雲,8/4/2024 23:25,https://www.ettoday.net/news/20240804/2790778.htm,即時新聞,「兩岸問題兩岸自己解決」　馬英九：沒有美國或是他國介入空間,NDC,反對
news_d1cf9d243cfad26b34a82d65f69ab2b0,2011 ETtoday.net. All Rights Reserved.,新聞雲,8/22/2024 13:31,https://www.ettoday.net/news/20240822/2802083.htm,即時新聞,美媒：獨立參選人小羅勃甘迺迪　擬本周退選「聯手川普」,NDC,中立
news_d38380b101e8e2b22e4613d78506389e,2011 ETtoday.net. All Rights Reserved.,新聞雲,8/22/2024 14:26,https://www.ettoday.net/news/20240822/2802099.htm,即時新聞,川普遭槍擊後首場戶外造勢　加裝防彈玻璃防刺殺重演,NDC,中立
news_27b8175efb9866db9f37476009b881b3,2011 ETtoday.net. All Rights Reserved.,新聞雲,7/22/2024 14:39,https://www.ettoday.net/news/20240722/2781917.htm,即時新聞,拜登退出2024美國總統大選　表態支持賀錦麗接棒,NDC,反對
news_48bccedb92e0250007cf40f19110028e,2011 ETtoday.net. All Rights Reserved.,新聞雲,8/23/2024 0:05,https://www.ettoday.net/news/20240822/2802556.htm,即時新聞,歐普拉現身全代會！轟范斯「無孩貓姑婆論」：火災我們也會救貓咪,NDC,反對
news_f15c1c27a3223cf21eeb84d33ee65f90,2011 ETtoday.net. All Rights Reserved.,新聞雲,7/23/2024 17:41,https://www.ettoday.net/news/20240723/2782628.htm,即時新聞,馬斯克驚呆！美家庭年收「前10都是少數族裔」　台灣排第2,NDC,中立
news_db0d28b413d4f5ca7535100196b57365,2011 ETtoday.net. All Rights Reserved.,新聞雲,9/20/2024 9:42,https://www.ettoday.net/news/20240920/2820173.htm,即時新聞,印度總理莫迪21日訪美參與2峰會　尚未確定會晤川普,NDC,中立
news_b80f54d585da766f5e2c54d75a7579ef,2011 ETtoday.net. All Rights Reserved.,新聞雲,9/20/2024 21:04,https://www.ettoday.net/news/20240920/2820466.htm,即時新聞,美選恐成苦戰！最新民調：賀錦麗和川普「關鍵州支持率」不相上下,NDC,中立
news_8e68a5637d2682fb6b97274de20f05db,2011 ETtoday.net. All Rights Reserved.,新聞雲,9/21/2024 1:47,https://www.ettoday.net/news/20240920/2820692.htm,即時新聞,川普造勢場遭「奶攻」！26歲女突掀衣露胸　特勤竟對她「有反應」,NDC,中立
news_3edd90d3637a027c39236e9b6f9a3105,2011 ETtoday.net. All Rights Reserved.,新聞雲,10/10/2024 13:36,https://www.ettoday.net/news/20241010/2832545.htm,即時新聞,川普代言《天佑美國聖經》　遭踢爆在中國印製,NDC,反對
news_20ef73a733ac8d3b180d4a4165779e3e,2011 ETtoday.net. All Rights Reserved.,新聞雲,9/22/2024 14:20,https://www.ettoday.net/news/20240922/2821356.htm,即時新聞,賀錦麗邀二次辯論　川普拒邀約：已經太遲了,NDC,中立
news_12145f2a2ecb935a5e31ac6106a7b324,2011 ETtoday.net. All Rights Reserved.,新聞雲,10/11/2024 1:17,https://www.ettoday.net/news/20241010/2832896.htm,即時新聞,末日博士示警！若川普勝選　美國恐爆「停滯性通膨」,NDC,反對
news_314665ae04f6bef37da6851c7538e83f,自由時報,即時新聞,10/31/2024 8:55,https://news.ltn.com.tw/news/world/breakingnews/4847547,即時新聞,美國總統大選結果何時出爐？《紐時》回顧開票爭議始末,NDC,反對
news_05a3150624a5817848b0c3831a9da521,自由時報,即時新聞,10/31/2024 8:53,https://news.ltn.com.tw/news/world/breakingnews/4847667,即時新聞,為拜登回轟川粉「垃圾」滅火 賀錦麗：不認同批評不支持者,NDC,反對
news_f36dd7bdd83bda3f329a560c43d88346,自由時報,即時新聞,10/31/2024 12:00,https://news.ltn.com.tw/news/world/breakingnews/4847695,即時新聞,"CNN藍牆3州民調：賀錦麗2州領先 1州與川普打平
",NDC,中立
news_35ee0d435ffaaef001e394fb04d9bfd1,自由時報,即時新聞,8/22/2024 15:19,https://ec.ltn.com.tw/article/breakingnews/4775611,即時新聞,中企洗產地 東南亞太陽能業面臨美關稅壓力,NDC,中立
news_e5ef64a69d81503645db41779ebdc9f8,自由時報,即時新聞,8/22/2024 21:25,https://ec.ltn.com.tw/article/breakingnews/4776731,即時新聞,《彭博》揭科技大佬們 ChatGPT發布以來身家暴增上兆元,NDC,反對
news_2a70885e18f880bbe35e3371bddb41c7,自由時報,即時新聞,8/4/2024 15:30,https://ent.ltn.com.tw/news/breakingnews/4758175,即時新聞,懶理中國封殺！唐綺陽力挺拳后林郁婷  「台灣加油」沒在怕,NDC,反對
news_a3bcd64a398bcd1aa7f09fb22cc31ccb,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/2/2024 20:55,https://www.ettoday.net/news/20241102/2847123.htm,即時新聞,台海局勢受美選牽動！台灣遭川普控「搶走晶片業」　面臨一大挑戰,NDC,反對
news_64a19181ad67e9644d054fa4048bc17f,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/3/2024 1:09,https://www.ettoday.net/news/20241102/2847300.htm,即時新聞,川普喊「用槍瞄準」前議員錢尼　賀錦麗斥：不夠格當總統,NDC,反對
news_188e1c6a5ea57b6ba9f6e5b2b0e82310,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/3/2024 18:22,https://www.ettoday.net/news/20241103/2847473.htm,即時新聞,最後關頭逆襲！共和黨票倉「賀錦麗民調領先」　川普陣營批：愚蠢,NDC,中立
news_43c9a3e765429305ae8807ee1a359d53,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/3/2024 23:34,https://www.ettoday.net/news/20241103/2847688.htm,即時新聞,川普勝率大增！最新民調：搖擺州全領先賀錦麗　整體支持率達49%,NDC,支持
news_209e1f7630d9afe334b58c63435096bf,自由時報,即時新聞,9/20/2024 17:29,https://ec.ltn.com.tw/article/breakingnews/4805343,即時新聞,防中國洗產地 美議員提案禁止中企透過第3國規避關稅,NDC,中立
news_eaa9e245fdc4e12c6f4f7fb304ffe060,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/4/2024 23:19,https://www.ettoday.net/news/20241104/2848196.htm,即時新聞,彭博：川普大咖金主馬斯克極度親中　對習近平有利,NDC,反對
news_fa4988e7c0d5cb937cbfcdc88a9837b0,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/5/2024 19:54,https://www.ettoday.net/news/20241105/2848783.htm,即時新聞,賀錦麗民調「1族群」領先16％！　華郵：選情樂觀,NDC,反對
news_5c0a7570ad00eca17a5d77db881e120d,自由時報,即時新聞,8/22/2024 17:45,https://news.ltn.com.tw/news/politics/breakingnews/4776490,即時新聞,協防台灣不怕遠！彭斯駁川普：對超級強國「算什麼呢」？,NDC,反對
news_ae23676139a1660a88c8b21604f1f34c,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/6/2024 5:27,https://www.ettoday.net/news/20241105/2849216.htm,即時新聞,賭客51億押川普當選！　BetFair預測：勝率60%大贏賀錦麗,NDC,中立
news_b66082d596ab8c8288b1768e872f9dc6,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/6/2024 5:05,https://www.ettoday.net/news/20241105/2849217.htm,即時新聞,法院駁回德州、密蘇里州要求　允司法部派員監督投票,NDC,中立
news_895dfec007fda4c48dbf3324f9ddee66,自由時報,即時新聞,8/4/2024 17:59,https://news.ltn.com.tw/news/world/breakingnews/4758221,即時新聞,川普與賀錦麗何時辯論兜不攏  雙方互相叫陣,NDC,中立
news_ffafd758db4bc071a1aa60d99cdf5f4c,自由時報,即時新聞,8/5/2024 0:11,https://news.ltn.com.tw/news/world/breakingnews/4758547,即時新聞,賀錦麗氣勢如虹 7月狂募103億比川普多1倍,NDC,反對
news_4a1e9508420d2ec5c722fd38aa22e035,自由時報,即時新聞,10/10/2024 22:04,https://ec.ltn.com.tw/article/breakingnews/4826504,即時新聞,川普承諾：將結束對海外美國人「雙重徵稅」,NDC,支持
news_0ec136c98a80e7a571cf2f06e2a93354,自由時報,即時新聞,8/1/2024 1:35,https://news.ltn.com.tw/news/def/breakingnews/4754663,即時新聞,軍武書摘》與中國共舞：美中關係五十年,NDC,反對
news_1a264b4dae96cc5d10e3c9084eed2f4c,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/6/2024 13:24,https://www.ettoday.net/news/20241106/2849292.htm,即時新聞,揚言若川普勝選將發動暴力攻擊　密西根州1男子被捕,NDC,中立
news_3ebc18ca9628ad9bdff728e673645c06,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/6/2024 13:19,https://www.ettoday.net/news/20241106/2849291.htm,即時新聞,選舉之夜川普在佛州豪宅辦派對　賀錦麗返母校看開票,NDC,中立
news_095c334ebdbc0730ed1b0e54d0f0cc63,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/6/2024 16:07,https://www.ettoday.net/news/20241106/2849337.htm,即時新聞,快訊／美選3州開票出爐！　川普19：3領先賀錦麗,NDC,中立
news_51070c67c5b853287a06a8511d87eb85,自由時報,即時新聞,8/4/2024 18:58,https://sports.ltn.com.tw/news/breakingnews/4758286,即時新聞,奧運拳擊》林郁婷不該受如此虐待！澳洲女將：媒體濫用權力隨波逐流,NDC,反對
news_b10c3fb7db9f0179cf76c2be06fe0729,2011 ETtoday.net. All Rights Reserved.,新聞雲,11/6/2024 19:14,https://www.ettoday.net/news/20241106/2849522.htm,即時新聞,民調：選民為民主投賀錦麗　為移民與經濟投川普,NDC,中立
