識別碼,新聞標題,新聞分類,發布日期,新聞連結,來源媒體,folder,子安,予瑄,LLM,子安 vs 予瑄,子安 vs LLM,予瑄 vs LLM
news_b462ae23990fbe54751470e435929ab1,美選賭盤「投票前夕」變了！川普勝率下降　賀錦麗可望反超,國際新聞,45601.82986,https://www.ettoday.net/news/20241105/2849181.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,中立,相同,相同,相同
news_5b9a2b92c5a2545087f3f3f94279bb41,俄男遊泰「性侵母牛」下場超慘！不只捅傷屁屁　恐遣送回國上戰場,國際新聞,45527.72847,https://www.ettoday.net/news/20240823/2802898.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,無關,無關,中立,相同,不相同,不相同
news_f263da534b21f7bd7e88c1af2be394de,納坦雅胡訪美出席國會演說　將會見拜登、川普,國際新聞,45497.48333,https://www.ettoday.net/news/20240724/2783462.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,中立,相同,相同,相同
news_c42f9945a1a0bfb490bcf55a9e699c15,納坦雅胡赴美演說感謝川拜　強調兩國同仇敵愾,國際新聞,45498.30694,https://www.ettoday.net/news/20240725/2784070.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,支持,相同,相同,相同
news_eba08d8e471ac6e7b142a4daff75da06,拜登哭了！民主黨全代會感性告別　喊「我愛美國」力挺賀錦麗,國際新聞,45524.55903,https://www.ettoday.net/news/20240820/2800855.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,反對,反對,反對,相同,相同,相同
news_e876d1ce362c72d18818f1a4fbb467f4,賀錦麗48小時連創2紀錄！　 美史上僅4位副總統帶職參選總統成功,國際新聞,45497.27083,https://www.ettoday.net/news/20240724/2783349.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,反對,中立,不相同,相同,不相同
news_b77f89d8487f131eb4c15991deb241a6,美國會選戰激烈　參眾兩院230多年來可能首度「雙雙變天」,國際新聞,45589.39583,https://www.ettoday.net/news/20241024/2841105.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,反對,反對,中立,相同,不相同,不相同
news_454722b34c645c6d03e70cddd88b7113,台中女大生騎車「2分鐘慘吞6罰單」　爸氣到砸毀機車！警方發聲了,地方新聞,45602.87569,https://www.ettoday.net/news/20241106/2849989.htm,2011 ETtoday.net. All Rights Reserved.,地方新聞,無關,無關,中立,相同,相同,相同
news_eff22eebc8803094a59a349ce356eb03,狙擊手待命、設圍欄！陸保守關注美投票氛圍　學者無奈誰勝都一樣,大陸新聞,45601.71181,https://www.ettoday.net/news/20241105/2849057.htm,2011 ETtoday.net. All Rights Reserved.,兩岸新聞,反對,反對,反對,相同,相同,相同
news_b0a5ce81677d8b5a94362d88675aa6b1,中東房市崛起！　川普提前布局5年內四處開花,房產雲,45593.76806,https://house.ettoday.net/news/2817427,2011 ETtoday.net. All Rights Reserved.,財經新聞,支持,支持,中立,相同,相同,相同
news_04abc35210a0468c72a6b8129d0ebe5c,拜登突退選！　邱毅揭：最後一根稻草是澤倫斯基做了「這件事」,政治新聞,45495.42778,https://www.ettoday.net/news/20240722/2781956.htm,2011 ETtoday.net. All Rights Reserved.,政治新聞,支持,支持,支持,相同,不相同,不相同
news_7fa87d9e00796f0db89d3c85189f9dab,台中男想娶老婆！花4.9萬作法「完全沒用」　怒提告命理師,社會新聞,45602.98889,https://www.ettoday.net/news/20241106/2850030.htm,2011 ETtoday.net. All Rights Reserved.,社會新聞,無關,無關,中立,相同,不相同,不相同
news_503510cf8b0b487db8e6a5f5fc048480,川普重返白宮「投資策略怎麼看？」　專家：股市終將反映基本面,財經新聞,45602.84514,https://finance.ettoday.net/news/2849977,2011 ETtoday.net. All Rights Reserved.,財經新聞,反對,支持,中立,不相同,不相同,不相同
news_265603c1ffdac9ecaf27dd0c391d2da5,SCFI終止連八跌回升5.98%　歐洲線漲最多、台灣市場歐美線雙跌,財經新聞,45590.67153,https://finance.ettoday.net/news/2842194,2011 ETtoday.net. All Rights Reserved.,財經新聞,反對,中立,中立,不相同,不相同,相同
news_1678ff1ba57b17de68ccb6962c51d32b,川普當選 台學者：美對台戰略清晰或模糊難預判,兩岸透視,45602.77356,https://www.cna.com.tw/news/acn/202411060358.aspx,中央通訊社,兩岸新聞,反對,中立,中立,不相同,不相同,相同
news_d9f5e53ec900524d105a1c4c168f575c,林佳龍：台納入美多邊戰略架構 盼日扮演更重要角色【專訪】,國內政治,45576.76634,https://www.cna.com.tw/news/aipl/202410110312.aspx,中央通訊社,政治新聞,支持,中立,中立,不相同,不相同,相同
news_9379e7c509a32dba204e9dcd69f7b78e,川普炸薯條造勢惹議 麥當勞：公司無政治立場,國際焦點,45587.7172,https://www.cna.com.tw/news/aopl/202410220281.aspx,中央通訊社,國際新聞,反對,中立,中立,不相同,相同,不相同
news_baffa7177236be1853d9d6677a1e8b6f,對手從白男變亞非裔女 共和黨阻黨員發動歧視攻擊,國際焦點,45497.53769,https://www.cna.com.tw/news/aopl/202407240148.aspx,中央通訊社,國際新聞,反對,反對,反對,相同,相同,相同
news_02a35738475cfb7471f89d5493c885c6,CNN美選6大搖擺州民調：賀錦麗贏2州、川普1州領先,國際焦點,45540.08179,https://www.cna.com.tw/news/aopl/202409050005.aspx,中央通訊社,國際新聞,中立,中立,中立,相同,相同,相同
news_a1fd8df573fcb9946c6834e4e3763a89,川普稱賀錦麗若入主白宮 將被習近平當小孩欺負,國際焦點,45590.37747,https://www.cna.com.tw/news/aopl/202410250029.aspx,中央通訊社,國際新聞,反對,反對,中立,相同,不相同,不相同
news_5f740797060cb6a2e209f011077e784e,賀錦麗川普搖擺州造勢 近2500萬選民已提前投票,國際焦點,45589.68155,https://www.cna.com.tw/news/aopl/202410240231.aspx,中央通訊社,國際新聞,反對,中立,反對,不相同,不相同,相同
news_d54283c201a503f66f5a0a93cda51cb9,賀錦麗對決川普選情熱 美關鍵搖擺州喬治亞提早投票首日票數創高,國際焦點,45581.47265,https://www.cna.com.tw/news/aopl/202410160073.aspx,中央通訊社,國際新聞,中立,中立,中立,相同,相同,相同
news_5420189686e4c51570256f3e87796291,維安疏失致川普遇刺 美特勤局長辭職：責任在我,國際焦點,45497.15384,https://www.cna.com.tw/news/aopl/202407240013.aspx,中央通訊社,國際新聞,中立,中立,中立,相同,相同,相同
news_a5753b6c0ae9321603b4c6dc2bef221d,川普幕僚動手推阿靈頓公墓官員 美國陸軍批不當攻擊,國際焦點,45534.60726,https://www.cna.com.tw/news/aopl/202408300180.aspx,中央通訊社,國際新聞,反對,反對,反對,相同,相同,相同
news_6b37845f5d79860179a407b6c7175e4b,共和黨世家表態 小布希之女芭芭拉宣布支持賀錦麗,國際焦點,45595.91733,https://www.cna.com.tw/news/aopl/202410300499.aspx,中央通訊社,國際新聞,中立,中立,反對,相同,相同,相同
news_c753b54720c6244e9f94dd22009a61a1,美總統大選墮胎議題難主導 民眾身體自主權前先顧飯碗,國際焦點,45596.34522,https://www.cna.com.tw/news/aopl/202410310030.aspx,中央通訊社,國際新聞,反對,反對,中立,相同,不相同,不相同
news_face7ad8567129b1b45acb798d08d853,美總統大選攻防芬太尼危機 母親們痛失愛子挺身而出,國際焦點,45597.41076,https://www.cna.com.tw/news/aopl/202411010046.aspx,中央通訊社,國際新聞,支持,反對,中立,不相同,不相同,不相同
news_04f54fdcea0486b721fefa879d8a0ba9,川普爭取基督徒支持 指責賀錦麗「反猶太」,國際焦點,45500.75032,https://www.cna.com.tw/news/aopl/202407270200.aspx,中央通訊社,國際新聞,反對,反對,反對,相同,相同,相同
news_6814a27612e1bec5da741bc65451c57b,川普籲封口費案量刑宣判延至大選後 檢方：法官決定,國際焦點,45524.68216,https://www.cna.com.tw/news/aopl/202408200233.aspx,中央通訊社,國際新聞,中立,中立,中立,相同,相同,相同
news_e094038c1ee288ce837507e3bc5a67ad,誰當美總統對克宮都沒差？路透：俄官媒明顯青睞川普,國際焦點,45587.87847,https://www.cna.com.tw/news/aopl/202410220400.aspx,中央通訊社,國際新聞,反對,反對,中立,相同,不相同,不相同
news_fa0127103bfb3ebb78f7d7ef38505068,賀錦麗多族裔身分 反映美國人口演變趨勢,國際焦點,45527.45587,https://www.cna.com.tw/news/aopl/202408230050.aspx,中央通訊社,國際新聞,反對,反對,反對,相同,相同,相同
news_1ef6ff3566c5fb4bbb20ba2ce74e4837,路透社民調：賀錦麗贏川普3個百分點 領先幅度縮小,國際焦點,45574.81918,https://www.cna.com.tw/news/aopl/202410090406.aspx,中央通訊社,國際新聞,中立,中立,中立,相同,相同,相同
news_157ccca5ec820f2dab1e0b2394ab368f,與川普對談直播出狀況 馬斯克：遭遇大規模網攻,國際焦點,45517.46938,https://www.cna.com.tw/news/aopl/202408130057.aspx,中央通訊社,國際新聞,反對,反對,中立,相同,不相同,不相同
news_156c65ca5a50e0dde9c6842f926bc19b,美國大選逼近 共和黨緊咬移民議題白宮提反駁,國際焦點,45555.4159,https://www.cna.com.tw/news/aopl/202409200044.aspx,中央通訊社,國際新聞,支持,支持,中立,相同,不相同,不相同
news_b94369f6405830094a7bb91873e0e95e,共和黨人倒戈 美前副總統錢尼父女喊票投賀錦麗,國際焦點,45542.51819,https://www.cna.com.tw/news/aopl/202409070081.aspx,中央通訊社,國際新聞,反對,反對,反對,相同,相同,相同
news_e4b8e357f2b5206ac53f2f018a31c4a1,開票夜川普在佛州豪宅辦派對 賀錦麗返母校觀選情,國際焦點,45602.14891,https://www.cna.com.tw/news/aopl/202411060007.aspx,中央通訊社,國際新聞,中立,中立,中立,相同,相同,相同
news_8196f3798189008bb68d77937cab3166,川普接受波蘭電視台訪問  呼籲波蘭裔美國人投他,國際焦點,45575.3936,https://www.cna.com.tw/news/aopl/202410100039.aspx,中央通訊社,國際新聞,中立,支持,中立,不相同,相同,不相同
news_ba812a7d4f2786f4b32d501372e8fbcb,議員質疑淡海輕軌太慢  侯友宜：時速將提至60公里,地方新聞,45601.91269,https://www.cna.com.tw/news/ahel/202411050425.aspx,中央通訊社,地方新聞,反對,中立,反對,不相同,相同,不相同
news_7ec61f7fbdeaccc716bdb900e388ef0a,徐華青春書寫「保持真誠」 願用善良方式看待世界,文化新聞,45503.79659,https://www.cna.com.tw/news/acul/202407300349.aspx,中央通訊社,文化體育新聞,反對,中立,反對,不相同,相同,不相同
news_6201f2cd1acd1a0532be10e97e3bf087,美總統大選逼近 全球經濟領袖憂川普重返白宮,財經新聞,45593.77081,https://www.cna.com.tw/news/aopl/202410280291.aspx,中央通訊社,財經新聞,反對,反對,反對,相同,相同,相同
news_6be3c29774a28c18cf1495b024916b92,日圓領漲 新台幣止貶回升收32.105元,財經新聞,45546.77709,https://www.cna.com.tw/news/afe/202409110336.aspx,中央通訊社,財經新聞,中立,中立,中立,相同,相同,相同
news_b872137e04fcd6263837d3018325399f,阿爾及利亞女拳手克莉芙談性別風波：金牌是最佳回應,運動新聞,45509.42882,https://www.cna.com.tw/news/aspt/202408050053.aspx,中央通訊社,文化體育新聞,反對,反對,反對,相同,相同,相同
news_d462c9e3762c426a808b1e209b021174,不管白宮誰當家 林芳正:延續日美維護台海,國際新聞,45497.22917,https://news.ltn.com.tw/news/world/paper/1658226,自由時報,國際新聞,支持,反對,中立,不相同,不相同,不相同
news_13e2930cb4b2d2aa14ef524a90e8a9bb,哈里遜福特挺賀錦麗 舉例前川普政府官員警告「別投川普」,國際新聞,45599.36508,https://news.ltn.com.tw/news/world/breakingnews/4850723,自由時報,國際新聞,中立,反對,反對,不相同,不相同,相同
news_2b7b3ef5faf699c6377441fd3e003c18,華茲與中國過往 美眾院調查,國際新聞,45522.22917,https://news.ltn.com.tw/news/world/paper/1662395,自由時報,國際新聞,中立,中立,中立,相同,相同,相同
news_a02b7ee4110f70cb9988dafa3feb49c5,川普重返白宮 莫斯科市民盼他終止烏俄戰爭,國際新聞,45602.87838,https://news.ltn.com.tw/news/world/breakingnews/4854890,自由時報,國際新聞,支持,支持,中立,相同,不相同,不相同
news_80cd7d05f17ebd774ec2554b296b93bf,臥底影片曝光！美司法部官員痛批川普案檢察官「扭曲司法」,國際新聞,45543.63074,https://news.ltn.com.tw/news/world/breakingnews/4793784,自由時報,國際新聞,反對,支持,支持,不相同,不相同,相同
news_0440c2ab135cb681efd112d61baa90d9,將川普造勢場比作納粹集會 賀錦麗陣營惹眾怒,國際新聞,45594.54144,https://news.ltn.com.tw/news/world/breakingnews/4845410,自由時報,國際新聞,中立,支持,反對,不相同,不相同,相同
news_734309191de0ffdb4c70eea6a69e4280,拜登堅持不退 本週重返競選,國際新聞,45495.22917,https://news.ltn.com.tw/news/world/paper/1657829,自由時報,國際新聞,中立,中立,中立,相同,相同,相同
news_e1dd0a5f7a389a1f8936b8843ddb3adc,風向變了？ 美第三大報《今日美國報》放棄為總統候選人背書,國際新聞,45595.64479,https://news.ltn.com.tw/news/world/breakingnews/4846869,自由時報,國際新聞,中立,中立,反對,相同,不相同,不相同
news_cf249d6e7ec13f0540cadc0d1cc2bb5f,祝禱「賀錦麗必勝！」 印度小村莊鄉親為她勝選祈福,國際新聞,45601.86127,https://news.ltn.com.tw/news/world/breakingnews/4853573,自由時報,國際新聞,中立,中立,中立,相同,不相同,不相同
news_206c88736880dd390d7d3ec2cbb57dcb,川普炸薯條大戰賀錦麗 賓州選情白熱化,國際新聞,45587.54741,https://news.ltn.com.tw/news/world/breakingnews/4838304,自由時報,國際新聞,支持,支持,支持,相同,不相同,不相同
news_b23ab13b733ab4284e64bbfc4e13359c,保守派智庫：美媒偏離中立創新高 川普85％負面vs.賀錦麗78％正面,國際新聞,45594.71821,https://news.ltn.com.tw/news/world/breakingnews/4845686,自由時報,國際新聞,反對,反對,中立,相同,不相同,不相同
news_fdadf634862d183182b092b95a21036c,民主黨上演「宮鬥劇」？ 美媒曝賀錦麗團隊「茶壺內風暴」,國際新聞,45517.63978,https://news.ltn.com.tw/news/world/breakingnews/4767515,自由時報,國際新聞,中立,中立,中立,相同,相同,相同
news_2fb258e525e4549de9c8ef2c77aa3960,川普稱生命受伊朗威脅 美情報單位示警,國際新聞,45560.66678,https://news.ltn.com.tw/news/world/breakingnews/4810742,自由時報,國際新聞,中立,中立,中立,相同,相同,相同
news_1c5503ea4abd2966b079712727add332,澤倫斯基公開批評川普搭檔 共和黨警告「恐影響未來軍援」,國際新聞,45561.54751,https://news.ltn.com.tw/news/world/breakingnews/4811582,自由時報,國際新聞,反對,反對,反對,相同,相同,相同
news_2b0588d6ebc2734563f44e61d0b3811e,民主黨高層重大誤判！ 華爾街日報：低估81歲拜登高齡風險,國際新聞,45495.85987,https://news.ltn.com.tw/news/world/breakingnews/4744907,自由時報,國際新聞,支持,支持,中立,相同,不相同,不相同
news_3076b8daaaae35dd748d146a4280bb23,賀錦麗公布副手人選 明尼蘇達州長華茲出線,國際新聞,45511.0363,https://news.ltn.com.tw/news/world/breakingnews/4760778,自由時報,國際新聞,中立,中立,中立,相同,相同,相同
news_051ce794886ce2ec108f3a4e9e02f1fb,看到川普當選超嗨！以色列總理納坦雅胡：史上最偉大逆轉,國際新聞,45602.70898,https://news.ltn.com.tw/news/world/breakingnews/4854570,自由時報,國際新聞,中立,支持,支持,不相同,不相同,相同
news_ac557077a17734809f4346781b58da3d,奧運熱議性別話題 川普造勢場又續炒,國際新聞,45523.22917,https://news.ltn.com.tw/news/world/paper/1662507,自由時報,國際新聞,反對,反對,反對,相同,相同,相同
news_daaf37199b8bd4f3f5186c5942c35ea7,輕熟女稱「草蜢」蔡一傑來借錢 警苦勸阻：人家還遇到川普咧,地方新聞,45560.46076,https://news.ltn.com.tw/news/Taichung/breakingnews/4810301,自由時報,地方新聞,無關,無關,中立,相同,不相同,不相同
news_1dd1e65273dcd04aed4ea1c5cead564f,川普勝選  中研院學者林正義：提高台灣國防預算無可迴避,政治新聞,45602.78987,https://news.ltn.com.tw/news/politics/breakingnews/4854700,自由時報,政治新聞,反對,反對,反對,相同,相同,相同
news_2adf0f426b50b15134d9e7622888ce7f,角頭「鴨頭」曾與仇家長槍互轟 還捲入大毒梟林孝道運毒案,社會新聞,45519.95458,https://news.ltn.com.tw/news/society/breakingnews/4770411,自由時報,社會新聞,無關,無關,中立,相同,不相同,不相同
news_014a88335e34ed1817ce786eb0f235f3,財經青紅燈》台灣從來不偷不搶,財經新聞,45595.22917,https://ec.ltn.com.tw/article/paper/1674474,自由時報,財經新聞,反對,反對,反對,相同,相同,相同
news_c06cb0787b3c9394c25848c0db36f653,川普出書: 札克伯格若再密謀反對 將關入監獄度餘生,財經新聞,45534.57632,https://ec.ltn.com.tw/article/breakingnews/4784913,自由時報,財經新聞,中立,反對,中立,不相同,相同,不相同
news_a21f078677b1b4f66aac66e649f3ce37,日圓破153後反彈！新台幣量縮走揚 暫收32.05元,財經新聞,45589.51426,https://ec.ltn.com.tw/article/breakingnews/4840622,自由時報,財經新聞,中立,中立,中立,相同,相同,相同
news_0421e7c3ae47117e9fac6ba1139e9245,高通慧眼示好貨？業界人士：不要只看股價、英特爾實際價值遠高於市值,財經新聞,45558.40119,https://ec.ltn.com.tw/article/breakingnews/4807986,自由時報,財經新聞,中立,中立,中立,相同,相同,相同
news_b94656abb2064bb999781cce6eb3bbfc,晶圓雙雄神祕買盤救援！外資大砍2.5萬張 股價走揚,財經新聞,45602.71088,https://ec.ltn.com.tw/article/breakingnews/4854617,自由時報,財經新聞,反對,反對,中立,相同,不相同,不相同
news_45285177cdfbb55f20260f13158f13cf,財經青紅燈》美國大選與台灣經濟,財經新聞,45602.22917,https://ec.ltn.com.tw/article/paper/1675644,自由時報,財經新聞,反對,反對,反對,相同,相同,相同
news_3f0c503f17ffe26468196e0209d6aa4e,奧運》爭議女拳手的下一戰對手很「匈」!「若贏了男人的她，是更大勝利」,體育新聞,45506.59868,https://sports.ltn.com.tw/news/breakingnews/4756756,自由時報,文化體育新聞,中立,中立,中立,相同,相同,相同
d834f7c5-3eb4-4060-885a-b1229d75b2fc,鮑爾是能力強還是運氣好？,A12版 台股熱點,45544.0,https://udndata.com/ndapp/Story?no=587&page=30&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-09-09&news_id=10416596,經濟日報,A12版 台股熱點,無關,無關,中立,相同,不相同,不相同
aebf7377-14cb-4ef8-af01-bdbbbf12b1b0,美元指數 短線弱勢格局,S14版 台股王外幣,45515.0,https://udndata.com/ndapp/Story?no=758&page=38&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-08-11&news_id=10402540,經濟日報,S14版 台股王外幣,中立,中立,中立,相同,相同,相同
ff4930ca-5d08-4640-8fab-fc5e956dff74,成長型基金 長線勝率高,B2版 基金,45603.0,https://udndata.com/ndapp/Story?no=37&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444598,經濟日報,B2版 基金,反對,反對,中立,相同,不相同,不相同
00b9ef96-fae7-4e4f-8ca6-0d147501481e,墨拚在地生產 祭租稅優惠,A6版 國際,45588.0,https://udndata.com/ndapp/Story?no=321&page=17&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-10-23&news_id=10437325,經濟日報,A6版 國際,中立,中立,中立,相同,相同,相同
99425201-86a1-4eb6-b0c6-309fc93df664,廣達得力 買盤進駐,A14版 台股熱點,45600.0,https://udndata.com/ndapp/Story?no=142&page=8&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-04&news_id=10443053,經濟日報,A14版 台股熱點,反對,反對,反對,相同,相同,相同
f1d20ee4-8ba2-4155-af95-d985a28c7273,攻勢猛烈 逼川普採取守勢,A2版 話題,45547.0,https://udndata.com/ndapp/Story?no=565&page=29&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-09-12&news_id=10418035,經濟日報,A2版 話題,反對,反對,反對,相同,相同,相同
a24dfc46-b225-4e46-b977-52be8dde09b8,避險資金 轉進台股四族群,A1版 要聞,45495.0,https://udndata.com/ndapp/Story?no=985&page=50&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-07-22&news_id=10393049,經濟日報,A1版 要聞,反對,反對,中立,相同,相同,相同
6a01b43e-e1a6-45b9-8b98-7ad06d208cbd,半導體商品受益人續增,B2版 基金,45496.0,https://udndata.com/ndapp/Story?no=941&page=48&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-07-23&news_id=10393586,經濟日報,B2版 基金,中立,中立,中立,相同,相同,相同
517f654b-10c1-4eb2-9d17-4a67f2f7c4ae,美上季GDP成長2.8%,A2版 話題,45596.0,https://udndata.com/ndapp/Story?no=209&page=11&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-10-31&news_id=10441245,經濟日報,A2版 話題,中立,中立,中立,相同,相同,相同
981b01a9-1260-4e4d-a828-357094eaa16d,短多優勢股 法人敲進,C2版 市場脈動,45594.0,https://udndata.com/ndapp/Story?no=241&page=13&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-10-29&news_id=10440168,經濟日報,C2版 市場脈動,中立,中立,中立,相同,相同,相同
64d5e35d-1196-4ad1-ac25-79b467751452,許勝雄：產業鏈將重新布局,A4版 川普勝選 特別報導,45603.0,https://udndata.com/ndapp/Story?no=41&page=3&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444570,經濟日報,A4版 川普勝選 特別報導,支持,支持,中立,相同,不相同,不相同
93bad448-b3aa-4ad8-9d2a-a4adabb262b0,小甘迺迪挺川 紐時：不影響選情,A8版 國際,45529.0,https://udndata.com/ndapp/Story?no=651&page=33&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-08-25&news_id=10409216,聯合報,A8版 國際,反對,反對,中立,相同,不相同,不相同
